"Check";"Data";"BPER c/c";"Diff BPER";"WEBANK c/c";"Diff WEBANK";"TRADE REP.";"Diff TR";"BBVA c/c";"Diff BBVA";"BTP Lordo";"Diff OBBLIG";"XEON Lordo";"Diff XEON Lordo";"ETF Lordo";"Diff ETF";"TRIC DEB/CRED";"Diff TRIC";"CartaWeBank";"Diff CARTA";"EDENRED";"Diff EDEN";"RENDIM. LORDO";"Diff REND";"Totale";"Diff Tot";"Note"
"CHECK 38";"2026-07-06";"3549,00";"-125,00";"221,00";"0,00";"4507,00";"5,00";"12562,00";"0,00";"7934,00";"5,00";"5087,00";"5087,00";"25986,00";"-5068,00";"72,00";"-45,00";"0,00";"0,00";"147,00";"0,00";"3407,00";"19,00";"59037,38";"1166,36";"Scorporato XEON da ETF tutti Lordo"
"CHECK 37";"2026-07-03";"3674,00";"-384,00";"221,00";"0,00";"4502,00";"0,00";"12562,00";"3,00";"7929,00";"-32,00";"0,00";"0,00";"31054,00";"154,00";"117,00";"-240,00";"0,00";"0,00";"147,00";"0,00";"3388,00";"154,00";"57871,02";"-539,04";""
"CHECK 36";"2026-06-30";"4058,00";"0,00";"221,00";"0,00";"4502,00";"300,00";"12559,00";"0,00";"7961,00";"11,00";"0,00";"0,00";"30900,00";"148,00";"357,00";"34,00";"0,00";"0,00";"147,00";"0,00";"3234,00";"148,00";"58410,06";"454,52";""
"CHECK 35";"2026-06-29";"4058,00";"2282,00";"221,00";"-2861,00";"4202,00";"0,00";"12559,00";"0,00";"7950,00";"45,00";"0,00";"0,00";"30752,00";"2625,00";"323,00";"51,00";"0,00";"0,00";"147,00";"147,00";"3086,00";"-235,00";"57955,54";"1606,50";"Dopo spese in Vacanza (varie) e 455 Hotel Bellaria"
"CHECK 34";"2026-06-19";"1776,00";"248,00";"3082,00";"2500,00";"4202,00";"0,00";"12559,00";"-2500,00";"7905,00";"-26,00";"0,00";"0,00";"28127,00";"47,00";"272,00";"-56,00";"0,00";"0,00";"0,00";"-203,00";"3321,00";"47,00";"56349,04";"-2,22";"Spost da BBVA a WEBANK - Dopo meta mutuo da Fra 341"
"CHECK 33";"2026-06-17";"1528,00";"-20,00";"582,00";"0,00";"4202,00";"0,00";"15059,00";"0,00";"7931,00";"-3,00";"0,00";"0,00";"28080,00";"-28,00";"328,00";"-27,00";"0,00";"0,00";"203,00";"0,00";"3274,00";"-28,00";"56351,26";"-70,72";""
"CHECK 32";"2026-06-16";"1548,00";"-859,00";"582,00";"481,00";"4202,00";"0,00";"15059,00";"0,00";"7934,00";"6,00";"0,00";"0,00";"28108,00";"-165,00";"355,00";"49,00";"0,00";"0,00";"203,00";"0,00";"3302,00";"287,00";"56421,98";"-445,10";"Dopo addebito Mutuo e PRIMA della restituzione FRA"
"CHECK 31";"2026-06-12";"2407,00";"-95,00";"101,00";"0,00";"4202,00";"0,00";"15059,00";"0,00";"7928,00";"39,00";"0,00";"0,00";"28273,00";"397,00";"306,00";"17,00";"0,00";"0,00";"203,00";"0,00";"3015,00";"396,00";"56867,08";"254,78";""
"CHECK 30";"2026-06-10";"2502,00";"-5,00";"101,00";"0,00";"4202,00";"0,00";"15059,00";"0,00";"7889,00";"-8,00";"0,00";"0,00";"27876,00";"-321,00";"289,00";"-17,00";"0,00";"0,00";"203,00";"0,00";"2619,00";"-321,00";"56612,30";"-267,54";""
"CHECK 29";"2026-06-08";"2507,00";"-448,00";"101,00";"0,00";"4202,00";"-180,00";"15059,00";"0,00";"7897,00";"-19,00";"0,00";"0,00";"28197,00";"-155,00";"306,00";"-44,00";"0,00";"0,00";"203,00";"140,00";"2940,00";"-154,00";"56879,84";"-665,70";"Dopo TARI Bollo Fiat Y - Scarpe Autry"
