"Mese";"Data";"Categoria";"Descrizione";"Importo";"Fissa";"Tricount";"Note"
"2026-07";"2026-07-09";"Necessita";"Tricount Io: GAS Octupus bolletta";"14,41";"No";"IO";""
"2026-07";"2026-07-08";"Necessita";"Tricount Io: LUCE octupus bolletta";"31,50";"No";"IO";""
"2026-07";"2026-07-07";"Necessita";"Tricount Io: Bicchiere svezzamento BEA";"6,00";"No";"IO";""
"2026-07";"2026-07-07";"Necessita";"Tricount Fra: Spesa";"9,50";"No";"FRA";""
"2026-07";"2026-07-07";"Necessita";"Tricount Fra: Latte + varie BEA";"11,50";"No";"FRA";""
"2026-07";"2026-07-07";"Necessita";"Tricount Fra: Antibiotico e Fermenti GAB";"10,50";"No";"FRA";""
"2026-07";"2026-07-06";"Necessita";"Tricount Fra: Spesa";"29,00";"No";"FRA";""
"2026-07";"2026-07-06";"Svago";"Tricount Fra: Cena Cityper Pizza e Toast";"7,50";"No";"FRA";""
"2026-07";"2026-07-06";"Necessita";"Integratore Massingen";"13,90";"No";"";""
"2026-07";"2026-07-04";"Svago";"Gelato io e gab amaro trevi";"10,90";"No";"";""
"2026-07";"2026-07-04";"Svago";"Tricount Io: Ristorante trevi";"25,50";"No";"IO";""
"2026-07";"2026-07-04";"Necessita";"Tricount Io: Diesel";"15,00";"No";"IO";""
"2026-07";"2026-07-03";"Necessita";"Tricount Io: Tampone gab streptococco";"7,00";"No";"IO";""
"2026-07";"2026-07-03";"Necessita";"Tricount Fra: spesa coop";"23,00";"No";"FRA";""
"2026-07";"2026-07-03";"Necessita";"Tricount Fra: cucchiaini svezzamento";"7,00";"No";"FRA";""
"2026-07";"2026-07-03";"Necessita";"Tricount Fra: TARI Sovigliana";"59,50";"No";"FRA";""
"2026-07";"2026-07-03";"Svago";"Colazione bar";"3,50";"No";"";""
"2026-07";"2026-07-03";"Necessita";"Coop spesa";"8,17";"No";"";""
"2026-07";"2026-07-02";"Necessita";"Tricount Fra: Lezioni piscina gab";"150,00";"No";"FRA";""
"2026-07";"2026-07-01";"Svago";"Railway - Deploy progetto";"5,00";"Si";"";""
"2026-07";"2026-07-01";"Svago";"OpenAI";"20,87";"Si";"";""
"2026-07";"2026-07-01";"Svago";"Netflix";"14,00";"Si";"";""
"2026-07";"2026-07-01";"Svago";"Claude Code";"21,96";"Si";"";""
"2026-07";"2026-07-01";"Necessita";"Wind Internet";"30,96";"Si";"";""
"2026-07";"2026-07-01";"Necessita";"Wind3 - Commissioni";"2,00";"Si";"";""
"2026-07";"2026-07-01";"Necessita";"Tim Mobile";"20,00";"Si";"";""
"2026-07";"2026-07-01";"Necessita";"Pulizie Roberta (1/2)";"40,00";"Si";"";""
"2026-07";"2026-07-01";"Necessita";"Mutuo (1/2)";"342,00";"Si";"";""
"2026-07";"2026-07-01";"Necessita";"Google Drive";"2,99";"Si";"";""
"2026-07";"2026-07-01";"Necessita";"Asilo Retta Gab. (1/2)";"160,00";"Si";"";""
"2026-07";"2026-07-01";"Necessita";"Amazon Prime Abb.";"4,99";"Si";"";""
"2026-07";"2026-06-30";"Risparmi";"Verso conto Trade republic";"300,00";"No";"";""
"2026-07";"2026-06-30";"Necessita";"Tricount Io: Bolletta Luca octupus";"34,00";"No";"IO";""
"2026-07";"2026-06-29";"Svago";"HOTEL BELLARIA Vacanza (1/2)";"455,00";"No";"";""
"2026-06";"2026-06-29";"Necessita";"Tricount Io: Pannolini conad";"5,00";"No";"IO";""
"2026-06";"2026-06-28";"Necessita";"Tricount Io: Spesa coop foligno";"62,63";"No";"IO";""
"2026-06";"2026-06-28";"Necessita";"Caffe superstrada";"1,70";"No";"";""
"2026-06";"2026-06-28";"Necessita";"Diesel ritorno bellaria";"35,00";"No";"";""
"2026-06";"2026-06-27";"Necessita";"Caffe bellaria";"1,70";"No";"";""
"2026-06";"2026-06-27";"Necessita";"Macchinine gab";"6,00";"No";"";""
"2026-06";"2026-06-27";"Necessita";"Spremuta d'arancia bar";"8,20";"No";"";""
"2026-06";"2026-06-27";"Necessita";"Palestra bellaria";"15,00";"No";"";""
"2026-06";"2026-06-26";"Necessita";"Gelato bellaria per me";"3,00";"No";"";""
"2026-06";"2026-06-26";"Necessita";"Gettoni macchinine GAB";"10,00";"No";"";""
"2026-06";"2026-06-26";"Necessita";"Patatine GAB bar";"2,00";"No";"";""
"2026-06";"2026-06-25";"Necessita";"""La frulleria"" ??";"2,60";"No";"";""
"2026-06";"2026-06-25";"Necessita";"Regalo mamma visciole";"22,00";"No";"";""
"2026-06";"2026-06-25";"Necessita";"Parco gab gelati";"5,00";"No";"";""
"2026-06";"2026-06-25";"Necessita";"Parco gab pranzo";"9,50";"No";"";""
"2026-06";"2026-06-25";"Necessita";"Tricount Fra: Ombrellone mare";"60,00";"No";"FRA";""
"2026-06";"2026-06-24";"Necessita";"Tricount Io: Gettoni macchinine GAB";"3,00";"No";"IO";""
"2026-06";"2026-06-24";"Necessita";"Goleador GAB";"1,00";"No";"";""
